head,name,actual2006,approved2006,revised2006,estimate2006,actual2007,approved2007,revised2007,estimate2007,actual2008,approved2008,revised2008,estimate2008,actual2009,approved2009,revised2009,estimate2009,actual2010,approved2010,revised2010,estimate2010,actual2011,approved2011,revised2011,estimate2011,actual2012,approved2012,revised2012,estimate2012,actual2013,approved2013,revised2013,estimate2013,actual2014,approved2014,revised2014,estimate2014
21,Player1,60397,59006,62657,72296,61316,72296,70584,74629,69841,74629,78015,79145,77429,79145,81406,84507,80747,84507,84507,82591,83940,82591,82591,85217,82420,85217,90223,93070,90155,93070,92372,94481,,,,
22,Player2,761371,703072,765280,956336,742566,956336,1121358,1439358,996218,1439358,1488624,897545,1458086,897545,1122606,930068,1080906,930068,876294,943104,864098,943104,913715,964195,891118,964195,977601,2211842,951814,2211842,2008045,1579239,,,,
23,Player3,61292,59788,60349,59000,59835,59000,58922,59227,57999,59227,59907,63633,59738,63633,64410,70154,63888,70154,69038,65004,69286,65004,64685,66360,64643,66360,66916,71970,66577,71970,72188,75158,,,,
24,Player4,117441,115379,113471,115872,110775,115872,110841,113092,111351,113092,115004,119263,114522,119263,121397,122364,120442,122364,118991,121638,118358,121638,119504,121132,119870,121132,125603,129568,124754,129568,134519,137368,,,,
25,Player5,1400782,1380584,1366877,1349587,1368381,1349587,1346760,1361087,1358840,1361087,1399328,1432348,1391110,1432348,1470144,1521318,1454642,1521318,1515710,1535891,1525021,1535891,1545811,1565434,1553113,1565434,1616491,1643927,1616696,1643927,1683979,1733990,,,,
26,Player6,462386,499078,476954,529552,450486,529552,498104,475211,494716,475211,455046,484715,455302,484715,472098,553424,470711,553424,502929,599165,506884,599165,539668,827607,544101,827607,772909,576367,776343,576367,546431,590713,,,,
27,Player7,73616,73009,72600,72500,72862,72500,70639,73739,71725,73739,74581,80831,72324,80831,82484,82067,82156,82067,81989,78268,85398,78268,78474,81696,78267,81696,82522,88374,81611,88374,88918,96253,,,,
28,Player8,600499,648290,639013,635969,636777,635969,583569,626432,580632,626432,615810,677479,605238,677479,669536,712824,668315,712824,681673,726398,682763,726398,694309,758817,689770,758817,770477,820331,767095,820331,833781,853813,,,,
30,Player9,2441035,2402021,2372266,2379726,2376728,2379726,2364730,2415644,2357031,2415644,2478487,2539155,2484866,2539155,2624261,2698592,2627500,2698592,2711333,2845482,2728487,2845482,2803755,2895922,2794827,2895922,3007817,3058900,2983617,3058900,3124070,3235902,,,,
31,Player10,1853418,1826794,1820262,1975440,1801587,1975440,1856558,2127362,1853004,2127362,2082698,2308147,2052986,2308147,2276242,2485416,2288494,2485416,2436076,2509384,2408581,2509384,2428664,2565707,2374075,2565707,2589308,2779156,2549770,2779156,2788031,3107689,,,,
